   # Gamma      Time       Height_Z     Velocity_Z
      10.0    0.0100       9.999460      -0.098100
      10.0    0.0200       9.997940      -0.196200
      10.0    0.0300       9.995438      -0.294300
      10.0    0.0400       9.991956      -0.392400
      10.0    0.0500       9.987492      -0.490500
      10.0    0.0600       9.982048      -0.588600
      10.0    0.0700       9.975622      -0.686700
      10.0    0.0800       9.968216      -0.784800
      10.0    0.0900       9.959828      -0.882900
      10.0    0.1000       9.950459      -0.981000
      10.0    0.1100       9.940110      -1.079100
      10.0    0.1200       9.928779      -1.177200
      10.0    0.1300       9.916468      -1.275300
      10.0    0.1400       9.903175      -1.373400
      10.0    0.1500       9.888902      -1.471500
      10.0    0.1600       9.873647      -1.569600
      10.0    0.1700       9.857412      -1.667700
      10.0    0.1800       9.840195      -1.765800
      10.0    0.1900       9.821998      -1.863900
      10.0    0.2000       9.802819      -1.962000
      10.0    0.2100       9.782659      -2.060100
      10.0    0.2200       9.761519      -2.158200
      10.0    0.2300       9.739397      -2.256300
      10.0    0.2400       9.716295      -2.354400
      10.0    0.2500       9.692211      -2.452500
      10.0    0.2600       9.667147      -2.550600
      10.0    0.2700       9.641101      -2.648700
      10.0    0.2800       9.614075      -2.746800
      10.0    0.2900       9.586067      -2.844900
      10.0    0.3000       9.557078      -2.943000
      10.0    0.3100       9.527109      -3.041100
      10.0    0.3200       9.496158      -3.139200
      10.0    0.3300       9.464227      -3.237300
      10.0    0.3400       9.431314      -3.335400
      10.0    0.3500       9.397421      -3.433500
      10.0    0.3600       9.362546      -3.531600
      10.0    0.3700       9.326691      -3.629700
      10.0    0.3800       9.289854      -3.727800
      10.0    0.3900       9.252037      -3.825900
      10.0    0.4000       9.213238      -3.924000
      10.0    0.4100       9.173458      -4.022100
      10.0    0.4200       9.132698      -4.120200
      10.0    0.4300       9.090956      -4.218300
      10.0    0.4400       9.048234      -4.316400
      10.0    0.4500       9.004530      -4.414500
      10.0    0.4600       8.959846      -4.512600
      10.0    0.4700       8.914180      -4.610700
      10.0    0.4800       8.867534      -4.708800
      10.0    0.4900       8.819906      -4.806900
      10.0    0.5000       8.771297      -4.905000
      10.0    0.5100       8.721708      -5.003100
      10.0    0.5200       8.671137      -5.101200
      10.0    0.5300       8.619586      -5.199300
      10.0    0.5400       8.567053      -5.297400
      10.0    0.5500       8.513540      -5.395500
      10.0    0.5600       8.459045      -5.493600
      10.0    0.5700       8.403570      -5.591700
      10.0    0.5800       8.347113      -5.689800
      10.0    0.5900       8.289675      -5.787900
      10.0    0.6000       8.231257      -5.886000
      10.0    0.6100       8.171857      -5.984100
      10.0    0.6200       8.111477      -6.082200
      10.0    0.6300       8.050115      -6.180300
      10.0    0.6400       7.987773      -6.278400
      10.0    0.6500       7.924449      -6.376500
      10.0    0.6600       7.860145      -6.474600
      10.0    0.6700       7.794859      -6.572700
      10.0    0.6800       7.728593      -6.670800
      10.0    0.6900       7.661345      -6.768900
      10.0    0.7000       7.593116      -6.867000
      10.0    0.7100       7.523907      -6.965100
      10.0    0.7200       7.453716      -7.063200
      10.0    0.7300       7.382545      -7.161300
      10.0    0.7400       7.310392      -7.259400
      10.0    0.7500       7.237259      -7.357500
      10.0    0.7600       7.163144      -7.455600
      10.0    0.7700       7.088049      -7.553700
      10.0    0.7800       7.011972      -7.651800
      10.0    0.7900       6.934914      -7.749900
      10.0    0.8000       6.856876      -7.848000
      10.0    0.8100       6.777856      -7.946100
      10.0    0.8200       6.697856      -8.044200
      10.0    0.8300       6.616874      -8.142300
      10.0    0.8400       6.534912      -8.240400
      10.0    0.8500       6.451968      -8.338500
      10.0    0.8600       6.368044      -8.436600
      10.0    0.8700       6.283138      -8.534700
      10.0    0.8800       6.197251      -8.632800
      10.0    0.8900       6.110384      -8.730900
      10.0    0.9000       6.022535      -8.829000
      10.0    0.9100       5.933706      -8.927100
      10.0    0.9200       5.843895      -9.025200
      10.0    0.9300       5.753104      -9.123300
      10.0    0.9400       5.661331      -9.221400
      10.0    0.9500       5.568578      -9.319500
