              # Time               Num_Z          Analytic_Z      Kinetic_Energy
            0.010000            9.999460            9.999509            0.004812
            0.020000            9.997940            9.998038            0.019247
            0.030000            9.995438            9.995585            0.043306
            0.040000            9.991956            9.992152            0.076989
            0.050000            9.987492            9.987737            0.120295
            0.060000            9.982048            9.982342            0.173225
            0.070000            9.975622            9.975965            0.235778
            0.080000            9.968216            9.968608            0.307956
            0.090000            9.959828            9.960269            0.389756
            0.100000            9.950459            9.950950            0.481181
            0.110000            9.940110            9.940649            0.582229
            0.120000            9.928779            9.929368            0.692900
            0.130000            9.916468            9.917105            0.813195
            0.140000            9.903175            9.903862            0.943114
            0.150000            9.888902            9.889637            1.082656
            0.160000            9.873647            9.874432            1.231822
            0.170000            9.857412            9.858245            1.390612
            0.180000            9.840195            9.841078            1.559025
            0.190000            9.821998            9.822929            1.737062
            0.200000            9.802819            9.803800            1.924722
            0.210000            9.782659            9.783689            2.122006
            0.220000            9.761519            9.762598            2.328914
            0.230000            9.739397            9.740525            2.545445
            0.240000            9.716295            9.717472            2.771600
            0.250000            9.692211            9.693437            3.007379
            0.260000            9.667147            9.668422            3.252781
            0.270000            9.641101            9.642425            3.507806
            0.280000            9.614075            9.615448            3.772456
            0.290000            9.586067            9.587489            4.046729
            0.300000            9.557078            9.558550            4.330625
            0.310000            9.527109            9.528629            4.624145
            0.320000            9.496158            9.497728            4.927289
            0.330000            9.464227            9.465845            5.240057
            0.340000            9.431314            9.432982            5.562448
            0.350000            9.397421            9.399137            5.894462
            0.360000            9.362546            9.364312            6.236100
            0.370000            9.326691            9.328505            6.587362
            0.380000            9.289854            9.291718            6.948248
            0.390000            9.252036            9.253949            7.318757
            0.400000            9.213238            9.215200            7.698889
            0.410000            9.173458            9.175469            8.088646
            0.420000            9.132698            9.134758            8.488026
            0.430000            9.090956            9.093065            8.897029
            0.440000            9.048234            9.050392            9.315656
            0.450000            9.004530            9.006737            9.743907
            0.460000            8.959846            8.962102           10.181781
